query,ai_system,cited_url,non_cited_url,domain,date,notes
best quiet keyboard,Perplexity,https://www.rtings.com/keyboard/reviews/best/quiet,,rtings.com,2026-04-01,editorial comparison
javascript map mdn,ChatGPT,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Map,,developer.mozilla.org,2026-04-01,docs
privacy policy example,Google AI Overview,https://termly.io/resources/templates/privacy-policy-template/,,termly.io,2026-04-01,policy/info page
best travel hair dryer,Perplexity,https://www.nytimes.com/wirecutter/reviews/best-hair-dryer/,,nytimes.com,2026-04-01,editorial review
how to clean airpods,ChatGPT,https://support.apple.com/en-us/102672,,apple.com,2026-04-01,help/support
protein intake per day,ChatGPT,https://www.healthline.com/nutrition/how-much-protein-per-day,,healthline.com,2026-04-01,editorial article
best standing desk,Perplexity,https://www.nytimes.com/wirecutter/reviews/best-standing-desk/,,nytimes.com,2026-04-01,editorial comparison
notion pricing,Google AI Overview,https://www.notion.so/pricing,,notion.so,2026-04-01,commerce/site info
best beginner mechanical keyboard youtube,ChatGPT,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,youtube.com,2026-04-01,video
how to use vlookup excel,YouTube,https://www.youtube.com/watch?v=9NUjHBNWe9M,,youtube.com,2026-04-01,video tutorial
